LLM,File,Accuracy_Prompt_01,Accuracy_Prompt_02,F1_Prompt_01,F1_Prompt_02,Precision_Prompt_01,Precision_Prompt_02,Recall_Prompt_01,Recall_Prompt_02,Delta_Precision,Delta_Recall,Delta_F1,Delta_Accuracy
chatgpt,script_152.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_153.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_154.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_155.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_156.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_158.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
chatgpt,script_16.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_160.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_161.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_162.js,1.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-0.25
chatgpt,script_163.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_165.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_166.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_167.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_168.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_17.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_170.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_172.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_173.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_174.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_175.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_176.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_177.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_178.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_180.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_183.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_186.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_188.js,0.25,0.25,0.4,0.4,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_19.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
chatgpt,script_190.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_192.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_194.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_195.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_196.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
chatgpt,script_197.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_198.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_20.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_201.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_202.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_203.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_204.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_205.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_206.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_207.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_208.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_209.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_21.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_210.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_212.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_213.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_214.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_215.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_216.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_217.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_218.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_219.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_22.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_221.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_223.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_224.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_227.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_229.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_23.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_230.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_231.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_232.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_233.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_234.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_235.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_236.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_237.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_238.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_239.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_24.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_240.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_241.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_242.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_245.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_247.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_248.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_249.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_25.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_250.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_251.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_252.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_253.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_254.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_255.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_257.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_259.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_26.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
chatgpt,script_260.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_262.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_264.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_265.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_266.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
chatgpt,script_267.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_268.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_269.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_27.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_270.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_271.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_272.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_273.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_276.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_277.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_278.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
chatgpt,script_279.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_28.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
chatgpt,script_280.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_281.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_282.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_285.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_286.js,0.75,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,-0.25
chatgpt,script_287.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_288.js,0.75,0.75,0.0,0.6667,0.0,0.5,0.0,1.0,0.5,1.0,0.6667,0.0
chatgpt,script_289.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_29.js,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0
chatgpt,script_290.js,0.75,0.75,0.0,0.6667,0.0,0.5,0.0,1.0,0.5,1.0,0.6667,0.0
chatgpt,script_291.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_292.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_295.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_296.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_30.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_31.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_32.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_33.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_34.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_35.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_36.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_37.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_38.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_39.js,0.75,0.25,0.6667,0.0,1.0,0.0,0.5,0.0,-1.0,-0.5,-0.6667,-0.5
chatgpt,script_40.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_41.js,0.25,0.25,0.4,0.4,0.3333,0.3333,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_42.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_45.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_47.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_51.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_52.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_53.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_55.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_56.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_59.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_60.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_61.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_62.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_63.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_69.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_70.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_71.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_76.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_77.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_78.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_80.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_82.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_83.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_85.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_89.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_90.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_92.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_93.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_94.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
