Prompt,File,LLM,S1,S2,S3,S4,Smells_All_OK,Lines_Match,Only_Oracle,Only_LLM
Prompt_01,script_15.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,"S2:L140, S3:L231, S3:L260, S3:L302, S3:L314, S3:L326, S3:L343, S3:L89","S3:L149, S3:L150, S3:L151, S3:L152, S3:L154, S3:L155, S3:L156, S3:L157, S3:L158, S3:L159, S3:L160, S3:L161, S3:L162, S3:L163, S3:L164, S3:L165, S3:L166, S3:L167, S3:L168, S3:L248, S3:L250, S3:L251, S3:L252, S3:L253, S3:L254, S3:L255, S3:L256, S3:L257, S4:L121, S4:L122, S4:L123, S4:L124, S4:L153, S4:L154, S4:L155, S4:L156, S4:L199, S4:L200, S4:L201, S4:L202, S4:L231, S4:L232, S4:L233, S4:L234, S4:L235, S4:L236, S4:L237, S4:L238, S4:L239, S4:L240, S4:L241, S4:L249, S4:L250, S4:L251, S4:L252, S4:L253, S4:L254, S4:L255, S4:L260, S4:L261, S4:L262, S4:L263, S4:L264, S4:L302, S4:L303, S4:L304, S4:L305, S4:L306, S4:L314, S4:L315, S4:L316, S4:L317, S4:L326, S4:L327, S4:L328, S4:L329, S4:L330, S4:L331, S4:L332, S4:L333, S4:L334, S4:L343, S4:L344, S4:L345, S4:L346, S4:L347, S4:L348, S4:L349, S4:L350"
Prompt_01,script_16.js,claude,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L111, S3:L113, S3:L25, S3:L35, S3:L44, S3:L72, S3:L85, S3:L87, S3:L96, S4:L5","S1:L18, S2:L5, S2:L6, S2:L7, S2:L8"
Prompt_01,script_17.js,claude,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L13, S3:L16, S3:L24, S3:L27, S3:L30, S3:L35, S4:L6","S2:L6, S2:L7, S2:L8, S2:L9"
Prompt_01,script_19.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S2:L127, S2:L131, S2:L135, S2:L139, S2:L143","S1:L111, S1:L112, S1:L113, S1:L114, S1:L115, S1:L116, S3:L128, S3:L132, S3:L136, S3:L140, S3:L144"
Prompt_01,script_20.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L58, S3:L63, S3:L69, S3:L75, S4:L14","S2:L14, S2:L15, S2:L16, S2:L17, S2:L18, S2:L19, S2:L20, S4:L38, S4:L39, S4:L40, S4:L41, S4:L42, S4:L43, S4:L44, S4:L45, S4:L46, S4:L47, S4:L48, S4:L49, S4:L50, S4:L51, S4:L52, S4:L53, S4:L54, S4:L55, S4:L56"
Prompt_01,script_21.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L10, S3:L14, S3:L31, S3:L45, S4:L54","S2:L1, S2:L51, S4:L10, S4:L14, S4:L31, S4:L45"
Prompt_01,script_22.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L58, S3:L63, S3:L69, S3:L75, S4:L14","S2:L14, S2:L15, S2:L16, S2:L17, S2:L18, S2:L19, S2:L20, S4:L38, S4:L39, S4:L40, S4:L41, S4:L42, S4:L43, S4:L44, S4:L45, S4:L46, S4:L47, S4:L48, S4:L49, S4:L50, S4:L51, S4:L52, S4:L53, S4:L54, S4:L55, S4:L56"
Prompt_01,script_23.js,claude,NÃO,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L37, S3:L44, S3:L72, S4:L5","S1:L37, S2:L10, S2:L11, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L44"
Prompt_01,script_24.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,"S3:L60, S4:L14","S2:L14, S2:L15, S2:L16, S2:L17, S2:L18, S2:L19, S2:L20, S2:L21, S2:L22, S2:L23, S3:L77, S3:L78, S3:L85, S3:L86, S4:L60, S4:L61, S4:L62, S4:L76, S4:L77, S4:L84, S4:L85"
Prompt_01,script_25.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L126, S3:L147, S3:L163, S4:L28","S2:L26, S2:L30, S4:L144, S4:L145, S4:L147, S4:L163, S4:L38"
Prompt_01,script_26.js,claude,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L1261, S3:L505, S3:L518, S4:L241","S2:L1, S2:L2, S2:L3, S2:L4, S2:L5"
Prompt_01,script_27.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L42, S3:L70, S4:L5","S2:L10, S2:L11, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L32, S4:L33, S4:L34, S4:L35, S4:L36, S4:L42"
Prompt_01,script_28.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S4:L55,"S1:L39, S1:L40, S1:L41, S1:L42, S1:L43, S1:L44, S1:L45, S1:L46, S1:L47, S1:L48, S1:L82, S1:L83, S1:L84, S1:L85, S1:L86, S1:L87, S2:L55, S2:L56, S2:L57, S2:L58, S2:L59, S2:L60, S2:L61, S2:L62, S2:L63, S2:L64, S2:L65, S2:L66"
Prompt_01,script_29.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,"S1:L51, S4:L28","S1:L12, S1:L13, S1:L14, S1:L15, S1:L16, S1:L17, S1:L18, S1:L19, S1:L20, S1:L21, S2:L28, S2:L29, S2:L30, S2:L31, S2:L32, S2:L33, S2:L34, S2:L35, S2:L36"
Prompt_01,script_30.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L40, S3:L68, S4:L5","S2:L10, S2:L11, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L30, S4:L31, S4:L32, S4:L33, S4:L34, S4:L40"
Prompt_01,script_31.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L28, S3:L62, S4:L14","S2:L14, S4:L50"
Prompt_01,script_32.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S4:L55,"S1:L39, S1:L40, S1:L41, S1:L42, S1:L43, S1:L44, S1:L45, S1:L46, S1:L47, S1:L48, S1:L82, S1:L83, S1:L84, S1:L85, S1:L86, S1:L87, S2:L55, S2:L56, S2:L57, S2:L58, S2:L59, S2:L60, S2:L61, S2:L62, S2:L63, S2:L64, S2:L65, S2:L66"
Prompt_01,script_33.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L52, S3:L80, S4:L5","S2:L10, S2:L11, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L42, S4:L43, S4:L44, S4:L45, S4:L46"
Prompt_01,script_34.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L36, S3:L65, S4:L5","S2:L10, S2:L11, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L36"
Prompt_01,script_35.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L14, S3:L23, S4:L4","S2:L4, S2:L5, S2:L6, S2:L7, S4:L14, S4:L23"
Prompt_01,script_36.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S4:L55,"S1:L39, S1:L40, S1:L41, S1:L42, S1:L43, S1:L44, S1:L45, S1:L46, S1:L47, S1:L48, S1:L82, S1:L83, S1:L84, S1:L85, S1:L86, S1:L87, S2:L55, S2:L56, S2:L57, S2:L58, S2:L59, S2:L60, S2:L61, S2:L62, S2:L63, S2:L64, S2:L65, S2:L66"
Prompt_01,script_37.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L33, S3:L36, S4:L8","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L8, S2:L9, S4:L25, S4:L26, S4:L27, S4:L28, S4:L29, S4:L30, S4:L31"
Prompt_01,script_38.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L33, S3:L36, S4:L8","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L8, S2:L9, S4:L19, S4:L20, S4:L21, S4:L22, S4:L23"
Prompt_01,script_39.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S2:L28,"S3:L30, S3:L31, S3:L32, S4:L29, S4:L39"
Prompt_01,script_40.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S2:L17,"S4:L18, S4:L22"
Prompt_01,script_41.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L4026, S3:L4052, S4:L4010","S2:L4010, S2:L4011, S2:L4012, S2:L4013, S2:L4014, S2:L4015, S2:L4016, S2:L4017, S2:L4018, S2:L4019, S4:L4026, S4:L4027, S4:L4028, S4:L4029, S4:L4030, S4:L4031, S4:L4052, S4:L4053, S4:L4054"
Prompt_01,script_42.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L54, S3:L82, S4:L5","S2:L10, S2:L11, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L45, S4:L46, S4:L47, S4:L48, S4:L49, S4:L54"
Prompt_01,script_45.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,S4:L6,"S1:L23, S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L6, S2:L7, S2:L8, S2:L9, S4:L41, S4:L42, S4:L43"
Prompt_01,script_47.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L11, S4:L4","S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L12, S4:L12"
Prompt_01,script_51.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L11, S4:L6","S2:L6, S2:L7, S2:L8, S2:L9, S3:L18, S4:L18"
Prompt_01,script_52.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L17, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L18, S4:L18"
Prompt_01,script_53.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S2:L18, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L16, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L22, S3:L23, S3:L24, S3:L25, S3:L26, S3:L27, S3:L28"
Prompt_01,script_55.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,S4:L8,"S1:L20, S1:L21, S1:L22, S1:L23, S1:L24, S1:L25, S1:L26, S1:L27, S1:L28, S1:L29, S1:L30, S1:L31, S1:L32, S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L16, S2:L17, S2:L8, S2:L9, S4:L34"
Prompt_01,script_56.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L15, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L16, S4:L16"
Prompt_01,script_59.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,S4:L20,"S1:L17, S2:L20, S2:L21, S2:L22, S2:L23, S2:L24, S2:L25, S2:L26, S2:L27, S2:L28, S2:L29, S4:L46, S4:L47, S4:L48"
Prompt_01,script_60.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L15, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L16, S4:L16"
Prompt_01,script_61.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,S4:L8,"S1:L20, S1:L21, S1:L22, S1:L23, S1:L24, S1:L25, S1:L26, S1:L27, S1:L28, S1:L29, S1:L30, S1:L31, S1:L32, S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L16, S2:L17, S2:L8, S2:L9, S4:L34"
Prompt_01,script_62.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L15, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L16, S4:L16"
Prompt_01,script_63.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L12, S4:L4","S2:L10, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L13, S4:L13"
Prompt_01,script_69.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L16, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L17, S4:L17"
Prompt_01,script_70.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L10, S4:L5","S2:L5, S2:L6, S2:L7, S2:L8, S3:L11, S4:L11"
Prompt_01,script_71.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L17, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L18, S4:L18"
Prompt_01,script_76.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L15, S4:L8","S2:L10, S2:L11, S2:L12, S2:L8, S2:L9, S3:L21, S3:L22, S4:L16, S4:L17, S4:L18, S4:L19"
Prompt_01,script_77.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L14, S4:L4","S2:L10, S2:L11, S2:L12, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S3:L15, S4:L15"
Prompt_01,script_78.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L13, S4:L8","S2:L10, S2:L11, S2:L8, S2:L9, S3:L14, S4:L14"
Prompt_01,script_80.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L18, S4:L10","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L16, S3:L20, S3:L29, S3:L30, S3:L31, S3:L32, S3:L33, S4:L20"
Prompt_01,script_82.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L11, S4:L7","S2:L7, S2:L8, S2:L9, S3:L12, S4:L12"
Prompt_01,script_83.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L10, S4:L4","S2:L4, S2:L5, S2:L6, S2:L7, S3:L24, S4:L24"
Prompt_01,script_85.js,claude,NÃO,SIM,SIM,NÃO,NÃO,NÃO,"S1:L43, S4:L67",
Prompt_01,script_89.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L14, S4:L9","S2:L10, S2:L11, S2:L9, S3:L16, S4:L16"
Prompt_01,script_90.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L9, S4:L4","S2:L4, S2:L5, S2:L6, S2:L7, S3:L10, S4:L10"
Prompt_01,script_92.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S3:L104, S3:L131, S3:L150, S3:L167, S3:L230, S3:L45, S3:L63, S3:L87","S4:L104, S4:L131, S4:L150, S4:L167, S4:L230, S4:L45, S4:L63, S4:L87"
Prompt_01,script_93.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S3:L67,"S2:L1, S2:L2, S2:L3, S2:L4, S2:L5, S4:L113, S4:L12, S4:L22, S4:L40, S4:L49, S4:L67, S4:L81, S4:L98"
Prompt_01,script_94.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S3:L116, S3:L132, S3:L156, S3:L178, S3:L39, S3:L56, S3:L80, S3:L96",
Prompt_01,script_95.js,claude,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L104, S3:L121, S3:L22, S3:L33, S3:L51, S3:L63, S3:L82, S3:L93","S2:L6, S4:L110, S4:L111, S4:L112, S4:L116, S4:L19, S4:L28, S4:L39, S4:L40, S4:L41, S4:L47, S4:L58, S4:L70, S4:L72, S4:L76, S4:L88, S4:L99"
Prompt_01,script_96.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,S3:L68,"S2:L1, S2:L2, S2:L3, S2:L4, S2:L5, S2:L6, S3:L112, S3:L21, S3:L36, S3:L48, S3:L65, S3:L97, S4:L13, S4:L23, S4:L41, S4:L50, S4:L68, S4:L82, S4:L99"
Prompt_01,script_97.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L117, S3:L129, S3:L142, S3:L159, S3:L167, S3:L192, S3:L73","S2:L1, S2:L199"
Prompt_01,script_98.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L104, S3:L117, S3:L142, S3:L167, S3:L194, S3:L53, S3:L92","S2:L203, S2:L204, S2:L205"
Prompt_01,script_99.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L1035, S3:L240, S3:L447, S3:L5, S3:L690, S3:L848","S2:L502, S2:L503, S2:L504"
Prompt_01,script_100.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S3:L15, S3:L30, S3:L43, S3:L58, S3:L71, S3:L85",
Prompt_01,script_101.js,claude,SIM,SIM,SIM,SIM,SIM,NÃO,"S3:L149, S3:L176, S3:L201, S3:L41, S3:L61","S3:L108, S3:L109, S3:L110, S3:L111, S3:L112, S3:L113, S3:L114, S3:L115, S3:L116, S3:L117, S3:L118, S3:L119, S3:L120, S3:L121, S3:L122, S3:L123, S3:L124, S3:L125, S3:L126"
Prompt_01,script_102.js,claude,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L19, S3:L32, S3:L41, S3:L50, S3:L58","S2:L1, S2:L2, S2:L3, S2:L4, S2:L6, S4:L19, S4:L32, S4:L41, S4:L50, S4:L58"
Prompt_01,script_103.js,claude,SIM,SIM,SIM,NÃO,NÃO,NÃO,S3:L17,"S4:L17, S4:L21, S4:L22, S4:L28"
Prompt_01,script_104.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S3:L15, S3:L16, S3:L20, S3:L21","S4:L15, S4:L16, S4:L17, S4:L18"
Prompt_01,script_105.js,claude,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L75, S3:L81, S3:L87, S3:L95","S2:L13, S2:L14, S2:L15, S2:L16, S4:L56, S4:L57, S4:L58, S4:L59, S4:L60, S4:L61, S4:L62, S4:L63, S4:L64, S4:L65, S4:L66, S4:L67, S4:L68, S4:L69, S4:L70, S4:L71, S4:L72, S4:L73"
Prompt_01,script_106.js,claude,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,"S3:L76, S3:L81, S3:L87, S3:L95","S1:L20, S1:L21, S1:L22, S1:L23, S1:L24, S1:L25, S1:L26, S1:L27, S1:L28, S1:L29, S1:L30, S1:L31, S1:L32, S1:L33, S1:L34, S1:L35, S1:L36, S1:L37, S1:L38, S1:L39, S1:L40, S1:L41, S1:L42, S1:L43, S1:L44, S1:L45, S1:L46, S1:L47, S1:L48, S1:L49, S1:L50, S1:L51, S1:L52, S1:L53, S1:L54, S1:L55, S2:L13, S2:L14, S2:L15, S2:L16, S2:L17, S2:L18, S4:L57, S4:L58, S4:L59, S4:L60, S4:L61, S4:L62, S4:L63, S4:L64, S4:L65, S4:L66, S4:L67, S4:L68, S4:L69, S4:L70, S4:L71, S4:L72, S4:L73, S4:L74, S4:L76"
Prompt_01,script_107.js,claude,SIM,SIM,SIM,NÃO,NÃO,NÃO,S3:L17,"S4:L17, S4:L21, S4:L22, S4:L28"
Prompt_01,script_108.js,claude,SIM,SIM,SIM,NÃO,NÃO,NÃO,S3:L17,"S4:L17, S4:L21, S4:L22, S4:L28"
Prompt_01,script_109.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L139, S3:L178, S3:L218, S3:L99","S2:L269, S2:L270, S2:L271"
Prompt_01,script_110.js,claude,SIM,SIM,SIM,NÃO,NÃO,NÃO,"S3:L20, S3:L42, S3:L63","S3:L55, S3:L56, S3:L57, S4:L20, S4:L42, S4:L54, S4:L63"
Prompt_01,script_111.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S3:L20, S3:L28, S3:L35, S3:L44","S4:L19, S4:L27, S4:L34, S4:L41"
Prompt_01,script_112.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S3:L53, S3:L57, S3:L98",
Prompt_01,script_113.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S3:L66, S3:L87, S3:L89","S4:L66, S4:L87"
Prompt_01,script_114.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S3:L46, S3:L67, S3:L69","S4:L46, S4:L67"
