repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc,smells_presentes,name_vs
Zweiblum66/vpams,https://github.com/Zweiblum66/vpams,benchmarks/scenarios/concurrent-users.js,yes,,0,,4,115:17; 174:17; 246:17; 280:17,18,132:13; 138:9; 146:11; 162:9; 196:19; 204:19; 213:19; 229:19; 262:15; 269:23; 302:19; 319:19; 334:26; 348:19; 376:19; 390:19; 404:19; 419:19,0,,bc,script_11.json
Salonee-Jain/k6,https://github.com/Salonee-Jain/k6,website/profileFlow.js,yes,,1,36:18,0,,15,43:33; 50:27; 64:28; 72:30; 108:27; 110:28; 122:34; 134:34; 141:37; 148:32; 158:33; 170:29; 176:25; 195:26; 210:27,0,,ac,script_12.json
firmansyah-github/quarkus-generated-test,https://github.com/firmansyah-github/quarkus-generated-test,src/main/k6/factor.tags.k6.collection.js,yes,,0,,0,,14,285:7; 290:7; 338:7; 343:7; 391:7; 396:7; 445:7; 450:7; 498:7; 503:7; 551:7; 556:7; 604:7; 609:7,1,15:12,cd,script_13.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6456.js,yes,,0,,0,,10,24:5; 46:5; 63:5; 86:5; 116:5; 126:5; 130:5; 131:5; 132:5; 133:5,1,5:14,cd,script_14.json
Zweiblum66/vpams,https://github.com/Zweiblum66/vpams,benchmarks/scenarios/api-stress-test.js,yes,,0,,1,140:17,9,89:24; 153:7; 231:23; 249:9; 260:25; 302:19; 314:19; 326:19; 343:19,0,,bc,script_15.json
thomas-chiang/k6_sharing,https://github.com/thomas-chiang/k6_sharing,4.http-CURD.js,yes,,0,,0,,9,25:15; 35:20; 44:3; 72:17; 85:17; 87:5; 96:17; 111:20; 113:32,1,5:14,cd,script_16.json
elrison/teste-desempenho-teastore,https://github.com/elrison/teste-desempenho-teastore,k6-teastore/cenario-500-vus.js,yes,,0,,0,,6,13:23; 16:25; 24:22; 27:26; 30:25; 35:26,1,6:14,cd,script_17.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/browser-Post-Case.js,yes,,0,,0,,6,32:9; 56:9; 76:9; 96:9; 121:9; 131:9,1,6:14,cd,script_18.json
Interstellarss/faas-share-test,https://github.com/Interstellarss/faas-share-test,profiling/k6-tmp4.js,yes,,1,110:17,5,127:17; 131:17; 135:17; 139:17; 143:17,0,,0,,ab,script_19.json
inspire12/performance-testing-architecture,https://github.com/inspire12/performance-testing-architecture,k6-testing/js/week1/load-test-local.js,yes,,0,,0,,4,58:21; 63:3; 69:3; 75:3,1,14:12,cd,script_20.json
rdpanek/k6,https://github.com/rdpanek/k6,demos/02-examples/fragments/elasticsearch.js,yes,,0,,0,,4,10:15; 14:13; 31:17; 45:15,1,54:18,cd,script_21.json
inspire12/performance-testing-architecture,https://github.com/inspire12/performance-testing-architecture,k6-testing/js/week1/load-test.js,yes,,0,,0,,4,58:21; 63:3; 69:3; 75:3,1,14:12,cd,script_22.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/postPetUploadImage_maintainability.js,yes,,0,,0,,3,37:11; 44:11; 72:3,1,5:12,cd,script_23.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/others/signup.js,yes,,0,,0,,3,60:21; 76:22; 84:21,1,14:12,cd,script_24.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/realtime/filters/subs.js,yes,,0,,0,,3,126:9; 147:7; 163:3,1,28:14,cd,script_25.json
firmansyah-github/quarkus-generated-test,https://github.com/firmansyah-github/quarkus-generated-test,src/main/k6/libs/shim/core.js,yes,,0,,0,,3,505:7; 518:9; 1261:5,1,241:23,cd,script_26.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/userLogin_maintainability.js,yes,,0,,0,,2,42:15; 70:5,1,5:12,cd,script_27.json
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/traces/trace-analyze-errors.js,yes,,2,38:18; 81:1,0,,0,,1,55:12,ad,script_28.json
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/linux2.js,yes,,2,11:18; 51:1,0,,0,,1,28:12,ad,script_29.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/logout_maintainability.js,yes,,0,,0,,2,40:15; 68:5,1,5:12,cd,script_30.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Delete/mongo_ref.js,yes,,0,,0,,2,28:21; 62:21,1,14:12,cd,script_31.json
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/traces/trace-shared-services-map.js,yes,,2,38:18; 81:1,0,,0,,1,55:12,ad,script_32.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/putUsername_maintainability.js,yes,,0,,0,,2,52:15; 80:5,1,5:12,cd,script_33.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,store_s2/getStoreOrder_maintainability.js,yes,,0,,0,,2,36:15; 65:5,1,5:12,cd,script_34.json
triszt4n/streamzen-monorepo,https://github.com/triszt4n/streamzen-monorepo,perftesting/_archive_script.js,yes,,0,,0,,2,14:17; 23:17,1,4:14,cd,script_35.json
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/traces/trace-transaction.js,yes,,2,38:18; 81:1,0,,0,,1,55:12,ad,script_36.json
inspire12/performance-testing-architecture,https://github.com/inspire12/performance-testing-architecture,k6-testing/js/week1/get-test-local.js,yes,,0,,0,,2,33:21; 36:3,1,8:12,cd,script_37.json
inspire12/performance-testing-architecture,https://github.com/inspire12/performance-testing-architecture,k6-testing/js/week3/get-async.js,yes,,0,,0,,2,33:21; 36:3,1,8:12,cd,script_38.json
rdpanek/k6,https://github.com/rdpanek/k6,demos/features/metrics-counter-thresholds.js,yes,,0,,1,28:1,2,29:21; 39:22,0,,bc,script_39.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section3/custom-metrics.js,yes,,0,,1,17:1,2,18:15; 22:11,0,,bc,script_40.json
NhanNguyen20/event-planning-management-system,https://github.com/NhanNguyen20/event-planning-management-system,server/K6TestingScript/LoadTesting/scenario2.js,yes,,0,,0,,2,4026:22; 4052:26,1,4010:12,cd,script_41.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/postPet_maintainability.js,yes,,0,,0,,2,54:15; 82:5,1,5:12,cd,script_42.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,spike/store/delete_store_order_orderId.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_43.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,load/user/put_user_username.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_44.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/others/validate.js,yes,,1,22:17,0,,0,,1,6:12,ad,script_45.json
olgaStadnyk/k6-learning,https://github.com/olgaStadnyk/k6-learning,first-test/first-script-cloud.js,yes,,0,,1,14:1,0,,1,4:14,bd,script_46.json
tonnarruda/k6_performanceTesting,https://github.com/tonnarruda/k6_performanceTesting,modulo2_entendendo_os_tipos_de_testes_de_performance/aula8_breakpoint_test.js,yes,,0,,1,11:1,0,,1,4:14,bd,script_47.json
olgaStadnyk/k6-learning,https://github.com/olgaStadnyk/k6-learning,cloud/cloud-default.js,yes,,0,,1,9:1,0,,1,4:14,bd,script_48.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6215.js,yes,,0,,1,57:1,0,,1,11:12,bd,script_49.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/pet/post_pet.js,yes,,0,,1,13:1,0,,1,4:14,bd,script_50.json
jeffotoni/gusermelicrud,https://github.com/jeffotoni/gusermelicrud,k6/script.put.js,yes,,0,,1,11:1,0,,1,6:12,bd,script_51.json
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,spike-test.js,yes,,0,,1,17:1,0,,1,4:14,bd,script_52.json
andrejarmen751/myshell,https://github.com/andrejarmen751/myshell,modules/docker/k6/scripts/aplic/aplic.js,yes,,0,,1,18:1,0,,1,4:14,bd,script_53.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/user/get_user_login.js,yes,,0,,1,13:1,0,,1,4:14,bd,script_54.json
KontonGu/HAS-GPU,https://github.com/KontonGu/HAS-GPU,konton_test/resnet/client/k6.js,yes,,1,19:15,0,,0,,1,8:14,ad,script_55.json
KakoF/Template_Distributed_Arch,https://github.com/KakoF/Template_Distributed_Arch,Docs/K6/modulo3_conceitos_importantes/aula21/shared-iterations.js,yes,,0,,1,15:1,0,,1,4:14,bd,script_56.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/pet/delete_pet_petId.js,yes,,0,,1,13:1,0,,1,4:14,bd,script_57.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,load/pet/delete_pet_petId.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_58.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/others/getExamList.js,yes,,1,16:17,0,,0,,1,20:12,ad,script_59.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,curso_k6/modulo3/14-per-vu-iterations.js,yes,,0,,1,15:1,0,,1,4:14,bd,script_60.json
Interstellarss/faas-share-test,https://github.com/Interstellarss/faas-share-test,MLPerf-based-workloads/resnet/client/k6.js,yes,,1,19:15,0,,0,,1,8:14,ad,script_61.json
KakoF/Template_Distributed_Arch,https://github.com/KakoF/Template_Distributed_Arch,Docs/K6/modulo3_conceitos_importantes/aula21/per-vu-iterations.js,yes,,0,,1,15:1,0,,1,4:14,bd,script_62.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section6/specify-project.js,yes,,0,,1,12:1,0,,1,4:14,bd,script_63.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,stress/store/get_store_order_orderId.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_64.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,load/user/post_user_createWithArray.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_65.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6214.js,yes,,0,,1,46:1,0,,1,11:12,bd,script_66.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,load/pet/get_pet_findByStatus.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_67.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/user/put_user_username.js,yes,,0,,1,13:1,0,,1,4:14,bd,script_68.json
elrison/test-k6,https://github.com/elrison/test-k6,per-vu-iterations.js,yes,,0,,1,16:1,0,,1,4:14,bd,script_69.json
thomas-chiang/k6_sharing,https://github.com/thomas-chiang/k6_sharing,5.2.random-sleep.js,yes,,0,,1,10:1,0,,1,5:14,bd,script_70.json
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,grafana/script.js,yes,,0,,1,17:1,0,,1,4:14,bd,script_71.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,spike/store/get_store_order_orderId.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_72.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/pet/post_pet_petId.js,yes,,0,,1,13:1,0,,1,4:14,bd,script_73.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,stress/pet/delete_pet_petId.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_74.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,stress/store/post_store_order.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_75.json
Interstellarss/faas-share-test,https://github.com/Interstellarss/faas-share-test,profiling/k6_shuffle.js,yes,,0,,1,15:1,0,,1,8:14,bd,script_76.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,curso_k6/modulo3/15-constants-vus.js,yes,,0,,1,14:1,0,,1,4:14,bd,script_77.json
rdpanek/k6,https://github.com/rdpanek/k6,demos/01-sandbox/00-template.js,yes,,0,,1,13:1,0,,1,8:14,bd,script_78.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6216.js,yes,,0,,1,52:1,0,,1,11:12,bd,script_79.json
Napat/k6_loadtest,https://github.com/Napat/k6_loadtest,07_testtype/05_soketest.js,yes,,0,,1,18:1,0,,1,10:14,bd,script_80.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,stress/pet/post_pet_petId_uploadImage.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_81.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,documentation/1-my-first-test.js,yes,,0,,1,11:1,0,,1,7:14,bd,script_82.json
cjchanx/SENG533-Project,https://github.com/cjchanx/SENG533-Project,test_get.js,yes,,0,,1,10:1,0,,1,4:14,bd,script_83.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,spike/user/post_user.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_84.json
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/Alert-Linux-time-range.js,yes,,1,43:18,0,,0,,1,67:12,ad,script_85.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/user/post_user_createWhiteList.js,yes,,0,,1,13:1,0,,1,4:14,bd,script_86.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,load/pet/post_pet_petId_uploadImage.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_87.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,spike/user/get_user_login.js,yes,,0,,1,21:1,0,,1,4:14,bd,script_88.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,k6-doc-examples/02my-first-k6-test.js,yes,,0,,1,14:1,0,,1,9:14,bd,script_89.json
Chris-Owusu/k6,https://github.com/Chris-Owusu/k6,script.js,yes,,0,,1,9:1,0,,1,4:14,bd,script_90.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/e2e.js,yes,,0,,0,,10,28:5; 50:5; 67:5; 90:5; 120:5; 130:5; 136:5; 137:5; 138:5; 139:5,0,,c,script_91.json
mateusoliveiraps/k6_estudos,https://github.com/mateusoliveiraps/k6_estudos,k6-smoke.js,yes,,0,,0,,8,45:21; 63:23; 87:24; 104:25; 131:23; 150:27; 167:32; 230:27,0,,c,script_92.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section4/http-delete.js,yes,,0,,0,,8,12:5; 22:15; 40:5; 49:11; 67:11; 81:11; 98:11; 113:11,0,,c,script_93.json
Chris-Owusu/k6,https://github.com/Chris-Owusu/k6,real-test.js,yes,,0,,0,,8,39:15; 56:11; 80:11; 96:11; 116:11; 132:11; 156:11; 178:11,0,,c,script_94.json
nicolevanderhoeven/k6-scripts,https://github.com/nicolevanderhoeven/k6-scripts,expoqa/browser.js,yes,,0,,0,,8,22:5; 33:5; 51:5; 63:5; 82:5; 93:5; 104:5; 121:5,0,,c,script_95.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section4/http-patch.js,yes,,0,,0,,7,13:5; 23:15; 41:5; 50:11; 68:11; 82:11; 99:11,0,,c,script_96.json
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/requests/merchant/orders.js,yes,,0,,0,,7,73:3; 117:4; 129:4; 142:4; 159:15; 167:4; 192:4,0,,c,script_97.json
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/requests/merchant/home-wc-admin.js,yes,,0,,0,,7,53:3; 92:4; 104:4; 117:4; 142:4; 167:4; 194:4,0,,c,script_98.json
woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,plugins/woocommerce/tests/performance/requests/merchant/add-order.js,yes,,0,,0,,7,5:1; 5:1; 240:21; 447:21; 690:21; 848:20; 1035:20,0,,c,script_99.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/pages/mp/orders.page.js,yes,,0,,0,,6,15:28; 30:33; 43:33; 58:35; 71:35; 85:34,0,,c,script_100.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section6/k6-test-api-tags.js,yes,,0,,0,,6,41:15; 61:11; 107:11; 149:11; 176:11; 201:11,0,,c,script_101.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/resources/abstract.resource.js,yes,,0,,0,,5,19:22; 32:22; 41:22; 50:22; 58:12,0,,c,script_102.json
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,expected-response.js,yes,,0,,0,,4,17:19; 21:13; 22:13; 28:9,0,,c,script_103.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,k6-examples/04thresholds/z-fail-load-test-using-checks-and-tags.js,yes,,0,,0,,4,15:9; 16:3; 20:9; 21:3,0,,c,script_104.json
Challe-P/report-load-tests,https://github.com/Challe-P/report-load-tests,load-test-script.js,yes,,0,,0,,4,75:23; 81:5; 87:5; 95:5,0,,c,script_105.json
Challe-P/report-load-tests,https://github.com/Challe-P/report-load-tests,load-test-script-html-summary.js,yes,,0,,0,,4,76:23; 81:5; 87:5; 95:5,0,,c,script_106.json
dhalexkim/k6-demo,https://github.com/dhalexkim/k6-demo,scripts/http/examples/example03.js,yes,,0,,0,,4,17:19; 21:13; 22:13; 28:9,0,,c,script_107.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section3/expected-response.js,yes,,0,,0,,4,17:19; 21:13; 22:13; 28:9,0,,c,script_108.json
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/requests/shopper/checkout-customer-login.js,yes,,0,,0,,4,99:26; 139:20; 178:26; 218:20,0,,c,script_109.json
QAInsights/Learn-k6-Series,https://github.com/QAInsights/Learn-k6-Series,onlineBoutique/online-boutique.js,yes,,0,,0,,4,20:18; 42:26; 54:19; 63:18,0,,c,script_110.json
joanlopez/xk6-aws,https://github.com/joanlopez/xk6-aws,examples/s3.js,yes,,0,,0,,4,20:2; 28:2; 35:2; 44:2,0,,c,script_111.json
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,search.js,yes,,0,,0,,3,53:5; 57:16; 98:5,0,,c,script_112.json
JoanEsquivel/k6-demo,https://github.com/JoanEsquivel/k6-demo,load.js,yes,,0,,0,,3,66:20; 87:21; 89:3,0,,c,script_113.json
JoanEsquivel/k6-demo,https://github.com/JoanEsquivel/k6-demo,smoke.js,yes,,0,,0,,3,46:20; 67:21; 69:3,0,,c,script_114.json
woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,plugins/woocommerce/tests/performance/requests/merchant/wp-login.js,yes,,0,,0,,3,44:3; 69:14; 83:3,0,,c,script_115.json
wnmay/horo,https://github.com/wnmay/horo,stresstest.js,yes,,0,,0,,3,43:19; 55:20; 71:18,0,,c,script_116.json
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,utils/http.js,yes,,0,,0,,3,82:20; 108:18; 110:18,0,,c,script_117.json
kucukaslan/clickhouse,https://github.com/kucukaslan/clickhouse,loadtests/stress.js,yes,,0,,0,,3,63:19; 115:23; 153:21,0,,c,script_118.json
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/requests/shopper/cart-apply-coupon.js,yes,,0,,0,,3,48:20; 111:20; 129:24,0,,c,script_119.json
truonghd113hd/testCI,https://github.com/truonghd113hd/testCI,scripts/advanced-test.js,yes,,0,,0,,3,51:19; 82:22; 160:25,0,,c,script_120.json
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/requests/shopper/my-account.js,yes,,0,,0,,3,74:14; 88:3; 109:3,0,,c,script_121.json
truonghd113hd/testCI,https://github.com/truonghd113hd/testCI,scripts/ci-test.js,yes,,0,,0,,3,36:22; 74:26; 101:25,0,,c,script_122.json
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-rest-load.js,yes,,0,,0,,2,64:26; 87:26,0,,c,script_123.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/006-thresholds/threshold-04.js,yes,,0,,0,,2,12:20; 15:3,0,,c,script_124.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,k6-examples/10cookies/x-cookies-with-attributes.js,yes,,0,,0,,2,5:15; 12:15,0,,c,script_125.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,documentation/11-contacts.js,yes,,0,,0,,2,10:15; 15:11,0,,c,script_126.json
hanghae-plus-5th/hhplus-e-commerce,https://github.com/hanghae-plus-5th/hhplus-e-commerce,k6/user/getUserPoint.js,yes,,0,,0,,2,10:20; 24:15,0,,c,script_127.json
tianling0625/W255repo,https://github.com/tianling0625/W255repo,main/labs/project/load.js,yes,,0,,0,,2,46:21; 52:25,0,,c,script_128.json
Felipe-builder/k6s-study,https://github.com/Felipe-builder/k6s-study,modulo2/9-groups.js,yes,,0,,0,,2,20:18; 27:18,0,,c,script_129.json
KakoF/Template_Distributed_Arch,https://github.com/KakoF/Template_Distributed_Arch,Docs/K6/modulo3_conceitos_importantes/aula17.js,yes,,0,,0,,2,14:27; 22:27,0,,c,script_130.json
MatheusGFritzke/chaos-test,https://github.com/MatheusGFritzke/chaos-test,load-generator/basic-load.js,yes,,0,,0,,2,66:18; 81:14,0,,c,script_131.json
olgaStadnyk/k6-learning,https://github.com/olgaStadnyk/k6-learning,project/tests/api/03.average.js,yes,,2,16:18; 16:29,0,,0,,0,,a,script_132.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,documentation/11-coinflip.js,yes,,0,,0,,2,10:15; 15:11,0,,c,script_133.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,curso_k6/modulo3/10-groups.js,yes,,0,,0,,2,14:23; 22:23,0,,c,script_134.json
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/setup/cart-checkout-shortcode.js,yes,,0,,0,,2,97:25; 98:29,0,,c,script_135.json
nicolevanderhoeven/k6-scripts,https://github.com/nicolevanderhoeven/k6-scripts,testdata-simple.js,yes,,0,,0,,2,9:20; 22:16,0,,c,script_136.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,k6-examples/10cookies/vus-inspecting-cookies-in-the-jar.js,yes,,0,,0,,2,5:15; 8:15,0,,c,script_137.json
woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,plugins/woocommerce/tests/performance/utils.js,yes,,0,,0,,2,26:2; 46:19,0,,c,script_138.json
olgaStadnyk/k6-learning,https://github.com/olgaStadnyk/k6-learning,browser-test/browser_and_http.js,yes,,0,,0,,2,92:5; 106:5,0,,c,script_139.json
dhalexkim/k6-demo,https://github.com/dhalexkim/k6-demo,scripts/http/examples/example01.js,yes,,0,,0,,2,34:13; 50:9,0,,c,script_140.json
