repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-unary-100tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-20tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-100tps-rabbitmq.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-20s.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-rest-load.js,yes,,0,,0,,2,64:26; 87:26,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-simple.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-final.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-cluster.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-streaming-60tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-streaming-20tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-100tps-simple.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-load.js,yes,,0,,0,,2,68:25; 98:29,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-unary-60tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-client-grpc-streaming-load.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-rest-100tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-20s.js,yes,,0,,0,,0,,1,4:12
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-client-rest-load.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-40tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-10tps-rabbitmq.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-80tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-client-grpc-unary-load.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-rest-20tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-40tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-unary-20tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-steady.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-100tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-clean.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-cluster.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-rest-60tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest.js,yes,,0,,0,,0,,1,4:12
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-20tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-ramp.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-grpc-streaming-100tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-quick-test.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,grpc_test.js,yes,,0,,0,,0,,1,7:12
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,test-200tps-simple.js,yes,,0,,0,,0,,1,4:14
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-gcp-load-test.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,rest_test.js,yes,,0,,0,,0,,1,4:12
grafana/k6-jslib-aws,https://github.com/grafana/k6-jslib-aws,build.mjs,yes,,0,,0,,0,,0,
CintyaAprilaFandini/PPL_KUIS-1,https://github.com/CintyaAprilaFandini/PPL_KUIS-1,k6/login.js,yes,,0,,1,12:1,0,,1,4:14
CintyaAprilaFandini/PPL_KUIS-1,https://github.com/CintyaAprilaFandini/PPL_KUIS-1,k6/Logout.js,yes,,0,,1,12:1,0,,1,4:14
CintyaAprilaFandini/PPL_KUIS-1,https://github.com/CintyaAprilaFandini/PPL_KUIS-1,k6/userList.js,yes,,0,,1,12:1,0,,1,4:14
avivasolutionsnl/Pensum-runner,https://github.com/avivasolutionsnl/Pensum-runner,example.js,yes,,0,,0,,0,,1,8:12
avivasolutionsnl/Pensum-runner,https://github.com/avivasolutionsnl/Pensum-runner,shared/k6-ext.js,yes,,0,,0,,1,30:15,0,
avivasolutionsnl/Pensum-runner,https://github.com/avivasolutionsnl/Pensum-runner,shared/think.js,yes,,0,,0,,0,,0,
AratKruglik/octane-tests,https://github.com/AratKruglik/octane-tests,k6/k6_2.js,yes,,0,,1,16:1,0,,1,4:12
DevPatri/MedicalFront,https://github.com/DevPatri/MedicalFront,testk6.js,yes,,0,,0,,0,,1,19:14
lgjsherond/TechHubDemo,https://github.com/lgjsherond/TechHubDemo,browser.js,yes,,0,,0,,0,,0,
lgjsherond/TechHubDemo,https://github.com/lgjsherond/TechHubDemo,browserAutomation.js,yes,,0,,0,,0,,0,
lgjsherond/TechHubDemo,https://github.com/lgjsherond/TechHubDemo,kuber.js,yes,,0,,0,,0,,0,
lgjsherond/TechHubDemo,https://github.com/lgjsherond/TechHubDemo,loadtest.js,yes,,0,,0,,0,,1,4:14
julien-jungo/k6-example,https://github.com/julien-jungo/k6-example,script.js,yes,,0,,0,,0,,0,
julien-jungo/k6-example,https://github.com/julien-jungo/k6-example,browser-script.js,yes,,0,,0,,0,,1,11:14
6-BARK/PhotoGallery,https://github.com/6-BARK/PhotoGallery,k6script.js,yes,,0,,1,28:1,0,,1,4:14
SilviuCristian45/proiect_tsac,https://github.com/SilviuCristian45/proiect_tsac,main.ts,yes,,0,,0,,0,,0,
unixisking/perf-benchmark,https://github.com/unixisking/perf-benchmark,k6-node.js,yes,,0,,0,,0,,1,22:14
unixisking/perf-benchmark,https://github.com/unixisking/perf-benchmark,k6-go.js,yes,,0,,0,,0,,1,22:14
unixisking/perf-benchmark,https://github.com/unixisking/perf-benchmark,k6-python.js,yes,,0,,0,,0,,1,22:14
JuanBaquero99/Performance_test_lab,https://github.com/JuanBaquero99/Performance_test_lab,soak.js,yes,,0,,1,21:1,0,,1,4:14
JuanBaquero99/Performance_test_lab,https://github.com/JuanBaquero99/Performance_test_lab,load.js,yes,,0,,1,29:1,0,,1,4:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,simple.js,yes,,0,,1,6:1,0,,0,
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,generate-html-report.js,yes,,0,,1,10:1,0,,1,5:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Load Testing Types/stress-testing.js,yes,,0,,0,,1,23:22,1,11:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Load Testing Types/smoke-testing.js,yes,,0,,0,,2,31:24; 42:24,1,7:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,withRumpVus.js,yes,,0,,0,,0,,1,5:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,withVus.js,yes,,0,,1,15:1,0,,0,
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Test API K6/AUTH/logout.js,yes,,0,,0,,0,,1,7:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Test API K6/AUTH/register.js,yes,,0,,0,,0,,1,15:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Test API K6/AUTH/login.js,yes,,0,,0,,0,,1,8:14
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Test API K6/AUTH/auth.js,yes,,0,,0,,0,,1,6:14
IgnacioRodriguez01/k6-stress-kit,https://github.com/IgnacioRodriguez01/k6-stress-kit,k6.js,yes,,0,,1,24:1,0,,1,10:14
LuisKpBeta/url-shortener,https://github.com/LuisKpBeta/url-shortener,load.js,yes,,0,,0,,0,,1,4:14
ramirobrandao/k6-perfomance,https://github.com/ramirobrandao/k6-perfomance,2.load.js,yes,,0,,0,,0,,0,
mesquitaa3/SkillUP,https://github.com/mesquitaa3/SkillUP,testar.js,yes,,0,,1,9:1,0,,1,4:14
Tour-KK/BE-CHONS,https://github.com/Tour-KK/BE-CHONS,script.js,yes,,0,,1,15:1,0,,1,4:14
LavanyaYeturi/Overall,https://github.com/LavanyaYeturi/Overall,performance_testing/k6/script.js,yes,,0,,1,7:1,0,,1,3:14
vfarcic/k6-demo,https://github.com/vfarcic/k6-demo,stages.js,yes,,0,,0,,1,20:17,1,4:14
RFP2310-Team-Moon/Q-A-Service,https://github.com/RFP2310-Team-Moon/Q-A-Service,script.js,yes,,0,,1,87:1,0,,1,4:14
rpp36-sdc-ip/Minwen-service,https://github.com/rpp36-sdc-ip/Minwen-service,script.js,yes,,0,,0,,2,49:3; 49:9,1,9:14
0BVer/stress-test,https://github.com/0BVer/stress-test,script.js,yes,,0,,1,4:1,0,,0,
dgzlopes/foobar-demo,https://github.com/dgzlopes/foobar-demo,example.js,yes,,0,,0,,0,,1,4:12
yosilia/ecommerce-full-site,https://github.com/yosilia/ecommerce-full-site,script.js,yes,,0,,0,,4,19:13; 23:9; 27:9; 35:9,0,
skursatToklucu/LoadProbe,https://github.com/skursatToklucu/LoadProbe,soak.js,yes,,0,,1,12:1,0,,0,
skursatToklucu/LoadProbe,https://github.com/skursatToklucu/LoadProbe,spike.js,yes,,0,,1,16:1,0,,0,
skursatToklucu/LoadProbe,https://github.com/skursatToklucu/LoadProbe,smoke.js,yes,,0,,1,12:1,0,,0,
skursatToklucu/LoadProbe,https://github.com/skursatToklucu/LoadProbe,stress.js,yes,,0,,1,16:1,0,,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,8-env.js,yes,,0,,1,6:1,0,,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,3-stages.js,yes,,0,,0,,0,,1,21:14
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,browser/script.js,yes,,0,,0,,0,,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,6-threshold.js,yes,,0,,1,12:1,0,,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,1-script.js,yes,,0,,1,9:1,0,,1,4:14
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,4-chek.js,yes,,0,,0,,0,,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,5-mult_check.js,yes,,0,,0,,0,,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,7-cookie.js,yes,,0,,0,,3,5:15; 15:15; 19:3,0,
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,grafana/script.js,yes,,0,,1,17:1,0,,1,4:14
jyasuu/terraform-demo,https://github.com/jyasuu/terraform-demo,hpa.js,yes,,0,,0,,0,,1,4:12
hghtwr/rest-simulator,https://github.com/hghtwr/rest-simulator,script.js,yes,,0,,1,58:1,4,59:3; 60:3; 61:3; 62:3,1,4:14
carloosbaquero/Cliente-TFM,https://github.com/carloosbaquero/Cliente-TFM,loadtest.js,yes,,0,,0,,0,,1,9:14
jorgeolive/ratelimiter-leakybucket,https://github.com/jorgeolive/ratelimiter-leakybucket,k6.js,yes,,0,,1,7:1,0,,1,3:14
JoanEsquivel/k6-demo,https://github.com/JoanEsquivel/k6-demo,smoke.js,yes,,0,,0,,3,46:20; 67:21; 69:3,0,
JoanEsquivel/k6-demo,https://github.com/JoanEsquivel/k6-demo,load.js,yes,,0,,0,,3,66:20; 87:21; 89:3,0,
JoanEsquivel/k6-demo,https://github.com/JoanEsquivel/k6-demo,introduction.js,yes,,0,,1,31:1,0,,0,
borgeskauan/stock-microservices,https://github.com/borgeskauan/stock-microservices,script.js,yes,,0,,0,,2,25:25; 52:20,1,8:12
navikt/amplitrude-proxy,https://github.com/navikt/amplitrude-proxy,loadtest.js,yes,,0,,0,,0,,1,4:14
jsimonassi/k6-Load-Testing,https://github.com/jsimonassi/k6-Load-Testing,index.js,yes,,0,,0,,15,73:13; 77:13; 81:13; 85:13; 89:13; 108:13; 112:13; 116:13; 120:13; 124:13; 144:13; 148:13; 152:13; 156:13; 160:13,1,45:16
danthegoodman1/EpicEpoch,https://github.com/danthegoodman1/EpicEpoch,k6-perf.js,yes,,0,,0,,0,,0,
danthegoodman1/EpicEpoch,https://github.com/danthegoodman1/EpicEpoch,k6-simple.js,yes,,0,,0,,0,,0,
cortezalberto/pruebaMar,https://github.com/cortezalberto/pruebaMar,script.js,yes,,0,,0,,0,,1,5:14
cortezalberto/pruebaMar,https://github.com/cortezalberto/pruebaMar,spike_testing.js,yes,,0,,0,,0,,1,5:14
cortezalberto/pruebaMar,https://github.com/cortezalberto/pruebaMar,stress_testing.js,yes,,0,,0,,0,,1,5:14
cortezalberto/pruebaMar,https://github.com/cortezalberto/pruebaMar,breakpoint_testing.js,yes,,0,,0,,0,,1,5:14
ranggaadithia/sora-load-test,https://github.com/ranggaadithia/sora-load-test,script.js,yes,,0,,0,,0,,1,23:12
ranggaadithia/sora-load-test,https://github.com/ranggaadithia/sora-load-test,sample.js,yes,,0,,0,,0,,1,4:14
mdcruz/k6-browser-demo,https://github.com/mdcruz/k6-browser-demo,demo.js,yes,,0,,0,,0,,0,
mdcruz/k6-browser-demo,https://github.com/mdcruz/k6-browser-demo,script.js,yes,,0,,0,,0,,1,5:14
Ajayan-NTP/hotelApp,https://github.com/Ajayan-NTP/hotelApp,loginout.js,yes,,0,,0,,4,21:15; 38:15; 45:20; 57:21,1,7:14
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,book.js,yes,,0,,0,,4,17:16; 33:5; 40:16; 94:5,0,
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,finddoctor.js,yes,,0,,0,,5,51:5; 78:5; 101:16; 114:16; 151:5,0,
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,parsejson.js,yes,,0,,0,,4,53:21; 68:20; 82:20; 96:20,0,
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,restapitest.js,yes,,0,,0,,4,45:21; 60:20; 74:20; 88:20,0,
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,location.js,yes,,0,,0,,2,43:5; 89:5,0,
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,searchapt.js,yes,,0,,0,,4,50:5; 54:16; 97:7; 134:7,0,
sunnynaik/k6_demo,https://github.com/sunnynaik/k6_demo,search.js,yes,,0,,0,,3,53:5; 57:16; 98:5,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo4_mão_na_massa/aula26.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula17.js,yes,,0,,0,,2,14:27; 22:27,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula10.js,yes,,0,,0,,0,,1,8:14
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula21/constant-vus.js,yes,,0,,1,14:1,0,,1,4:14
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo5_conteudo_adicional/aula35.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo4_mão_na_massa/aula24.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula21/per-vu-iterations.js,yes,,0,,1,15:1,0,,1,4:14
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula18.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula19.js,yes,,0,,1,5:1,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo4_mão_na_massa/aula27.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo5_conteudo_adicional/aula36.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula15.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo4_mão_na_massa/aula23.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo5_conteudo_adicional/aula29.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo4_mão_na_massa/aula25.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo5_conteudo_adicional/aula31.js,yes,,0,,0,,0,,0,
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula13.js,yes,,0,,0,,0,,1,4:14
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula21/shared-iterations.js,yes,,0,,1,15:1,0,,1,4:14
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo2_entendendo_os_tipos_de_testes_de_performance/aula8_breakpoint_test.js,yes,,0,,1,11:1,0,,1,4:14
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula12.js,yes,,0,,0,,0,,1,4:14
rayhanadri/go-myapi,https://github.com/rayhanadri/go-myapi,script.js,yes,,0,,0,,0,,1,4:12
whatslunch/brian-proxy,https://github.com/whatslunch/brian-proxy,script.js,yes,,0,,0,,0,,1,8:14
ArqSoftPractica/223987-235861-184019-back,https://github.com/ArqSoftPractica/223987-235861-184019-back,k6/k6.js,yes,,0,,0,,0,,1,6:14
adko99/loadtesting,https://github.com/adko99/loadtesting,task5.js,yes,,0,,0,,2,31:15; 41:31,1,7:12
adko99/loadtesting,https://github.com/adko99/loadtesting,task3.js,yes,,0,,0,,2,31:15; 41:31,1,10:12
adko99/loadtesting,https://github.com/adko99/loadtesting,task6.js,yes,,0,,0,,0,,1,8:12
adko99/loadtesting,https://github.com/adko99/loadtesting,task4.js,yes,,0,,0,,2,29:15; 43:27,1,4:12
adko99/loadtesting,https://github.com/adko99/loadtesting,task1.js,yes,,0,,0,,0,,1,4:12
adko99/loadtesting,https://github.com/adko99/loadtesting,task2.js,yes,,0,,0,,2,26:15; 36:31,1,4:12
danielnaranjo/node-docker-k6-benchmark,https://github.com/danielnaranjo/node-docker-k6-benchmark,script.js,yes,,0,,0,,0,,1,4:14
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,stress.js,yes,,0,,0,,0,,1,4:14
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,smoke.js,yes,,0,,0,,0,,0,
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,performance.js,yes,,0,,0,,0,,0,
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,helpers/auth.js,yes,,0,,0,,0,,0,
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,soak.js,yes,,0,,0,,0,,1,4:14
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,load.js,yes,,0,,0,,0,,1,4:14
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,utilizando_helper.js,yes,,0,,0,,0,,1,5:12
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,spike.js,yes,,0,,0,,0,,1,4:14
JoaoParazzi/k6-tests,https://github.com/JoaoParazzi/k6-tests,data_driven_test.js,yes,,0,,0,,0,,1,4:14
shiskr/k6-sample,https://github.com/shiskr/k6-sample,sample.js,yes,,0,,0,,0,,1,11:14
PBL-Dream-Team/HRIS,https://github.com/PBL-Dream-Team/HRIS,k6/login.js,yes,,0,,0,,0,,1,4:12
PBL-Dream-Team/HRIS,https://github.com/PBL-Dream-Team/HRIS,k6/get_employee.js,yes,,0,,0,,2,21:18; 42:21,1,4:12
feejunior/k6login,https://github.com/feejunior/k6login,k6token.js,yes,,0,,0,,0,,0,
feejunior/k6login,https://github.com/feejunior/k6login,k6login.js,yes,,0,,0,,2,15:20; 33:22,0,
hrr48-sdc08-pawdreyhepburn/reviews-component,https://github.com/hrr48-sdc08-pawdreyhepburn/reviews-component,script.js,yes,,0,,1,16:1,2,31:5; 33:5,1,3:12
JonathanGunawan30/golang-redis-jwt-session,https://github.com/JonathanGunawan30/golang-redis-jwt-session,script.js,yes,,0,,0,,0,,0,
m8/cpp_rest,https://github.com/m8/cpp_rest,bench.js,yes,,0,,0,,5,11:32; 12:33; 13:35; 14:38; 15:37,1,4:12
m8/cpp_rest,https://github.com/m8/cpp_rest,bench2.js,yes,,0,,0,,5,12:32; 13:33; 14:35; 15:38; 16:37,1,4:12
maxoliverbr/k6GithubActions,https://github.com/maxoliverbr/k6GithubActions,k6spike.js,yes,,0,,1,13:1,0,,1,4:14
paurosello/demoappskustomize,https://github.com/paurosello/demoappskustomize,script.js,yes,,0,,0,,2,75:5; 77:15,1,5:14
lucasjct/test-performance,https://github.com/lucasjct/test-performance,script.js,yes,,0,,0,,0,,0,
lucasjct/test-performance,https://github.com/lucasjct/test-performance,thresholds-all.js,yes,,0,,1,25:1,0,,0,
lucasjct/test-performance,https://github.com/lucasjct/test-performance,hybrid-test.js,yes,,0,,0,,0,,1,5:14
elistjames/seng533-project,https://github.com/elistjames/seng533-project,stress.js,yes,,0,,0,,0,,1,4:12
elistjames/seng533-project,https://github.com/elistjames/seng533-project,soak.js,yes,,0,,0,,0,,1,4:12
elistjames/seng533-project,https://github.com/elistjames/seng533-project,spike.js,yes,,0,,0,,0,,1,4:12
elistjames/seng533-project,https://github.com/elistjames/seng533-project,lambda_multi.js,yes,,0,,0,,0,,1,4:12
elistjames/seng533-project,https://github.com/elistjames/seng533-project,lambda_single.js,yes,,0,,0,,0,,1,4:12
CRiSTiK24/k6scripts,https://github.com/CRiSTiK24/k6scripts,script.js,yes,,0,,0,,4,19:25; 20:25; 23:30; 32:23,0,
WiktorSzymanski/travel-agency-tests,https://github.com/WiktorSzymanski/travel-agency-tests,script.js,yes,,0,,0,,5,12:18; 15:13; 57:17; 67:20; 79:20,1,6:14
Devcognitio/k6-example-tests,https://github.com/Devcognitio/k6-example-tests,script.js,yes,,0,,0,,3,31:22; 46:23; 47:5,0,
Devcognitio/k6-example-tests,https://github.com/Devcognitio/k6-example-tests,ejemploGrupos.js,yes,,0,,0,,2,13:9; 16:21,0,
Mohamed-Mostafa69/k6-scripts,https://github.com/Mohamed-Mostafa69/k6-scripts,k6/cv5.js,yes,,0,,1,24:1,0,,0,
